,sequence_length,r_error,case_error
0,1,0.36507537891238884,785.8830134055818
1,2,0.35263204537981474,1074.6853027938128
2,3,0.567339963630445,1094.5384761101952
3,4,0.5448358924245721,1105.6481726294708
4,5,0.5744144580421308,1145.9420630540073
5,6,0.3568040702715345,1128.547323261302
6,7,0.3299304789574325,1304.6355384356855
7,8,0.37091180437127613,1348.9256680500675
8,9,0.41556719232564765,1364.3556476769704
9,10,0.43299517346314204,1424.740585518721
10,11,0.38314854250852637,1226.0026258828268
11,12,0.3810208097814686,1263.6859915847115
12,13,0.34918590443359115,1274.9339866236317
13,14,0.36804575613995716,1293.4791597782523
14,15,0.4139233384741314,1394.2832205024401
15,16,0.432557735245984,1434.3468346890256
16,17,0.4004349762276518,1415.7722043820263
17,18,0.36778452815303103,1246.623070248806
18,19,0.3491387521122672,1232.0275908624026
19,20,0.33796472161824026,1221.0241903232816
